"","BUYER_COUNTY","avg_population","countyfips","pillsperperson"
"1","ADAIR",18531,"21001",53
"2","ALLEN",19706,"21003",68
"3","ANDERSON",21200,"21005",55
"4","BALLARD",8236,"21007",46
"5","BARREN",41790,"21009",78
"6","BATH",11634,"21011",30
"7","BELL",28720,"21013",153
"8","BOONE",116108,"21015",63
"9","BOURBON",19925,"21017",49
"10","BOYD",49221,"21019",102
"11","BOYLE",28470,"21021",83
"12","BRACKEN",8492,"21023",19
"13","BREATHITT",14266,"21025",108
"14","BRECKINRIDGE",19845,"21027",48
"15","BULLITT",73300,"21029",41
"16","BUTLER",12841,"21031",80
"17","CALDWELL",12913,"21033",87
"18","CALLOWAY",36890,"21035",58
"19","CAMPBELL",89222,"21037",54
"20","CARLISLE",5113,"21039",42
"21","CARROLL",10726,"21041",82
"22","CARTER",27657,"21043",49
"23","CASEY",15995,"21045",40
"24","CHRISTIAN",73742,"21047",42
"25","CLARK",35368,"21049",70
"26","CLAY",22249,"21051",134
"27","CLINTON",10087,"21053",149
"28","CRITTENDEN",9284,"21055",121
"29","CUMBERLAND",6903,"21057",94
"30","DAVIESS",95664,"21059",59
"31","EDMONSON",12078,"21061",38
"32","ELLIOTT",7618,"21063",34
"33","ESTILL",14715,"21065",70
"34","FAYETTE",291220,"21067",39
"35","FLEMING",14398,"21069",47
"36","FLOYD",40029,"21071",163
"37","FRANKLIN",49115,"21073",49
"38","FULTON",6805,"21075",98
"39","GALLATIN",8403,"21077",35
"40","GARRARD",16848,"21079",35
"41","GRANT",24678,"21081",88
"42","GRAVES",37133,"21083",55
"43","GRAYSON",25597,"21085",76
"44","GREEN",11363,"21087",39
"45","GREENUP",36969,"21089",59
"46","HANCOCK",8579,"21091",14
"47","HARDIN",101816,"21093",39
"48","HARLAN",29645,"21095",78
"49","HARRISON",18702,"21097",43
"50","HART",18263,"21099",28
"51","HENDERSON",45960,"21101",85
"52","HENRY",15502,"21103",37
"53","HICKMAN",4909,"21105",27
"54","HOPKINS",46782,"21107",98
"55","JACKSON",13510,"21109",50
"56","JEFFERSON",731590,"21111",60
"57","JESSAMINE",47367,"21113",51
"58","JOHNSON",23399,"21115",140
"59","KENTON",158574,"21117",52
"60","KNOTT",16565,"21119",44
"61","KNOX",31836,"21121",61
"62","LARUE",14037,"21123",42
"63","LAUREL",58299,"21125",63
"64","LAWRENCE",15905,"21127",100
"65","LEE",7753,"21129",135
"66","LESLIE",11432,"21131",118
"67","LETCHER",24303,"21133",85
"68","LEWIS",13936,"21135",37
"69","LINCOLN",24757,"21137",43
"70","LIVINGSTON",9508,"21139",85
"71","LOGAN",26850,"21141",41
"72","LYON",8376,"21143",61
"73","MADISON",82262,"21151",53
"74","MAGOFFIN",13223,"21153",46
"75","MARION",19653,"21155",52
"76","MARSHALL",31316,"21157",63
"77","MARTIN",13081,"21159",56
"78","MASON",17356,"21161",54
"79","MCCRACKEN",65259,"21145",106
"80","MCCREARY",18117,"21147",63
"81","MCLEAN",9623,"21149",29
"82","MEADE",28862,"21163",29
"83","MENIFEE",6445,"21165",36
"84","MERCER",21323,"21167",50
"85","METCALFE",10110,"21169",30
"86","MONROE",11098,"21171",82
"87","MONTGOMERY",26013,"21173",84
"88","MORGAN",13974,"21175",41
"89","MUHLENBERG",31480,"21177",83
"90","NELSON",42842,"21179",55
"91","NICHOLAS",7094,"21181",33
"92","OHIO",23848,"21183",68
"93","OLDHAM",59036,"21185",30
"94","OWEN",10940,"21187",34
"95","OWSLEY",4730,"21189",123
"96","PENDLETON",14843,"21191",25
"97","PERRY",28691,"21193",178
"98","PIKE",65121,"21195",144
"99","POWELL",12838,"21197",72
"100","PULASKI",62115,"21199",67
"101","ROBERTSON",2260,"21201",NA
"102","ROCKCASTLE",17006,"21203",103
"103","ROWAN",23096,"21205",51
"104","RUSSELL",17444,"21207",77
"105","SCOTT",45439,"21209",47
"106","SHELBY",41370,"21211",44
"107","SIMPSON",17254,"21213",70
"108","SPENCER",16768,"21215",34
"109","TAYLOR",24357,"21217",55
"110","TODD",12312,"21219",41
"111","TRIGG",14048,"21221",48
"112","TRIMBLE",8869,"21223",20
"113","UNION",15109,"21225",81
"114","WARREN",110537,"21227",50
"115","WASHINGTON",11625,"21229",24
"116","WAYNE",20713,"21231",65
"117","WEBSTER",13698,"21233",61
"118","WHITLEY",36188,"21235",185
"119","WOLFE",7275,"21237",100
"120","WOODFORD",24618,"21239",33
